series,value,n,k,d,method,median_baseline_rss_mib,min_baseline_rss_mib,max_baseline_rss_mib,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib,median_incremental_peak_rss_mib,min_incremental_peak_rss_mib,max_incremental_peak_rss_mib
d,2,50,3,2,beam_dp,46.47265625,46.41796875,46.56640625,46.77734375,46.72265625,46.87109375,0.3046875,0.3046875,0.3046875
d,2,50,3,2,exact_dp,46.46484375,46.34375,46.515625,46.77734375,46.66015625,46.828125,0.3125,0.3125,0.31640625
d,2,50,3,2,smvc,63.28125,63.23046875,63.34375,64.4453125,64.3984375,64.515625,1.16796875,1.1640625,1.171875
d,2,50,3,2,stc,373.28515625,373.25390625,373.30859375,407.42578125,405.04296875,415.52734375,34.171875,31.734375,42.2421875
d,2,50,3,2,tabu,46.578125,46.57421875,46.6015625,47.08984375,47.0859375,47.109375,0.51171875,0.5078125,0.51171875
d,4,50,3,4,beam_dp,46.4765625,46.42578125,46.578125,47.0390625,46.9921875,47.1484375,0.56640625,0.5625,0.5703125
d,4,50,3,4,exact_dp,46.4609375,46.4140625,46.4765625,47.34765625,47.30078125,47.359375,0.88671875,0.8828125,0.88671875
d,4,50,3,4,smvc,63.3828125,63.22265625,63.5546875,64.703125,64.5390625,64.87890625,1.3203125,1.31640625,1.32421875
d,4,50,3,4,stc,373.2890625,373.25,373.2890625,409.80859375,407.3203125,417.65234375,36.51953125,34.0703125,44.36328125
d,4,50,3,4,tabu,46.6171875,46.5078125,46.62890625,47.18359375,47.078125,47.19140625,0.56640625,0.5625,0.5703125
d,6,50,3,6,beam_dp,46.41796875,46.3828125,46.515625,47.546875,47.50390625,47.63671875,1.12109375,1.12109375,1.12890625
d,6,50,3,6,exact_dp,46.4609375,46.44921875,46.48828125,49.046875,49.0390625,49.078125,2.58984375,2.5859375,2.58984375
d,6,50,3,6,smvc,63.33984375,63.30859375,63.4296875,65.40234375,65.35546875,65.4765625,2.046875,2.046875,2.0625
d,6,50,3,6,stc,373.4453125,373.39453125,373.49609375,416.81640625,412.80078125,419.51953125,43.3203125,39.40625,46.07421875
d,6,50,3,6,tabu,46.55078125,46.47265625,46.5859375,47.1171875,47.0390625,47.15234375,0.56640625,0.56640625,0.56640625
d,8,50,3,8,beam_dp,46.51953125,46.4140625,46.53125,48.47265625,48.38671875,48.48828125,1.95703125,1.953125,1.97265625
d,8,50,3,8,exact_dp,46.46484375,46.4296875,46.48046875,52.12109375,52.0078125,52.15234375,5.6875,5.52734375,5.69140625
d,8,50,3,8,smvc,63.25,63.22265625,63.328125,67.15625,67.12109375,67.234375,3.90625,3.8984375,3.90625
d,8,50,3,8,stc,373.38671875,373.296875,373.40234375,428.6015625,428.23046875,428.69140625,55.19921875,54.93359375,55.3046875
d,8,50,3,8,tabu,46.57421875,46.5703125,46.58984375,47.15625,47.140625,47.16015625,0.56640625,0.56640625,0.58984375
d,10,50,3,10,beam_dp,46.51171875,46.48046875,46.5234375,49.140625,49.078125,49.1640625,2.62890625,2.59765625,2.640625
d,10,50,3,10,exact_dp,46.421875,46.4140625,46.50390625,57.36328125,57.35546875,57.4453125,10.94140625,10.94140625,10.94140625
d,10,50,3,10,smvc,63.296875,63.22265625,63.359375,71.41015625,71.3359375,71.48046875,8.11328125,8.11328125,8.12109375
d,10,50,3,10,stc,373.33984375,373.2890625,373.4375,452.609375,452.56640625,452.71484375,79.27734375,79.26953125,79.27734375
d,10,50,3,10,tabu,46.60546875,46.5625,46.6640625,47.171875,47.125,47.2109375,0.5625,0.546875,0.56640625
d,12,50,3,12,beam_dp,46.41796875,46.4140625,46.42578125,49.44921875,49.26953125,49.49609375,3.03515625,2.84375,3.078125
d,12,50,3,12,exact_dp,46.48046875,46.38671875,46.484375,65.6953125,65.6015625,65.76953125,19.21484375,19.21484375,19.28515625
d,12,50,3,12,smvc,63.2421875,63.2109375,63.27734375,78.921875,78.890625,78.95703125,15.6796875,15.6796875,15.6796875
d,12,50,3,12,stc,373.34375,373.2890625,373.4921875,540.3359375,540.28125,540.484375,166.9921875,166.9921875,166.9921875
d,12,50,3,12,tabu,46.60546875,46.58984375,46.640625,47.17578125,47.16015625,47.19921875,0.5703125,0.55859375,0.5703125
d,14,50,3,14,beam_dp,46.421875,46.4140625,46.51953125,50.10546875,49.80859375,50.1953125,3.67578125,3.39453125,3.68359375
d,14,50,3,14,exact_dp,46.44921875,46.4453125,46.4765625,78.3828125,78.37890625,78.41015625,31.93359375,31.93359375,31.93359375
d,14,50,3,14,smvc,63.2421875,63.234375,63.3359375,91.36328125,91.359375,91.4609375,28.125,28.12109375,28.125
d,14,50,3,14,stc,373.265625,373.24609375,373.28515625,700.46484375,700.44140625,700.48046875,327.1953125,327.1953125,327.19921875
d,14,50,3,14,tabu,46.57421875,46.546875,46.61328125,47.1484375,47.14453125,47.1640625,0.5703125,0.55078125,0.6015625
k,2,50,2,3,beam_dp,46.45703125,46.4296875,46.5078125,46.7734375,46.74609375,46.82421875,0.31640625,0.31640625,0.31640625
k,2,50,2,3,exact_dp,46.40625,46.40625,46.43359375,46.734375,46.734375,46.76171875,0.328125,0.328125,0.328125
k,2,50,2,3,smvc,63.23046875,63.23046875,63.31640625,64.38671875,64.38671875,64.47265625,1.15625,1.15625,1.15625
k,2,50,2,3,stc,373.359375,373.234375,373.38671875,410.21875,410.06640625,413.03515625,36.984375,36.6796875,39.67578125
k,2,50,2,3,tabu,46.62890625,46.46484375,46.63671875,47.19921875,47.06640625,47.20703125,0.5703125,0.5703125,0.6015625
k,4,50,4,3,beam_dp,46.5,46.48046875,46.51953125,47.125,47.1015625,47.16015625,0.625,0.62109375,0.640625
k,4,50,4,3,exact_dp,46.4765625,46.45703125,46.53125,47.5546875,47.53125,47.609375,1.078125,1.07421875,1.078125
k,4,50,4,3,smvc,63.3125,63.3046875,63.3984375,64.64453125,64.640625,64.734375,1.3359375,1.33203125,1.3359375
k,4,50,4,3,stc,373.3203125,373.23046875,373.37890625,417.84765625,410.24609375,417.88671875,44.56640625,36.8671875,44.6171875
k,4,50,4,3,tabu,46.625,46.55859375,46.64453125,47.203125,47.125,47.20703125,0.56640625,0.5625,0.578125
k,6,50,6,3,beam_dp,46.53125,46.484375,46.53125,48.484375,48.41796875,48.53125,1.953125,1.93359375,2.0
k,6,50,6,3,exact_dp,46.46875,46.4375,46.49609375,55.515625,55.37890625,55.5703125,9.07421875,8.91015625,9.078125
k,6,50,6,3,smvc,63.34375,63.23046875,63.35546875,67.5390625,67.4296875,67.77734375,4.19921875,4.1953125,4.421875
k,6,50,6,3,stc,373.33984375,373.30078125,373.4453125,421.31640625,419.12109375,421.625,48.015625,45.78125,48.1796875
k,6,50,6,3,tabu,46.5546875,46.5078125,46.59375,47.13671875,47.09375,47.16796875,0.58203125,0.57421875,0.5859375
k,8,50,8,3,beam_dp,46.49609375,46.421875,46.5234375,48.97265625,48.8671875,49.0625,2.55078125,2.34375,2.56640625
k,8,50,8,3,exact_dp,46.46484375,46.453125,46.46875,125.58203125,125.56640625,125.74609375,79.1171875,79.11328125,79.27734375
k,8,50,8,3,smvc,63.32421875,63.22265625,63.41796875,114.0078125,113.9140625,114.1015625,50.68359375,50.68359375,50.69140625
k,8,50,8,3,stc,373.30078125,373.2421875,373.48046875,512.515625,512.45703125,512.6953125,139.21484375,139.21484375,139.21484375
k,8,50,8,3,tabu,46.578125,46.50390625,46.609375,47.16015625,47.0859375,47.19140625,0.58203125,0.58203125,0.58203125
k,10,50,10,3,beam_dp,46.48046875,46.421875,46.5703125,49.40234375,49.39453125,49.453125,2.9140625,2.8828125,2.98046875
k,10,50,10,3,exact_dp,46.48046875,46.453125,46.53125,764.1640625,764.02734375,764.2421875,717.7109375,717.546875,717.7109375
k,10,50,10,3,smvc,63.32421875,63.28125,63.33203125,526.68359375,526.67578125,526.75,463.3515625,463.3515625,463.46875
k,10,50,10,3,stc,373.28515625,373.28125,373.359375,1679.79296875,1679.79296875,1679.8671875,1306.5078125,1306.5078125,1306.51171875
k,10,50,10,3,tabu,46.6171875,46.58203125,46.6171875,47.203125,47.17578125,47.21484375,0.59375,0.5859375,0.59765625
n,100,100,3,3,beam_dp,46.5390625,46.51953125,46.546875,47.12109375,47.109375,47.1328125,0.5859375,0.58203125,0.58984375
n,100,100,3,3,exact_dp,46.484375,46.46484375,46.48828125,47.3046875,47.28515625,47.30859375,0.8203125,0.8203125,0.8203125
n,100,100,3,3,smvc,63.37109375,63.23828125,63.4609375,64.6484375,64.515625,64.73828125,1.27734375,1.27734375,1.27734375
n,100,100,3,3,stc,373.31640625,371.95703125,373.453125,417.1953125,414.53515625,419.12890625,45.23828125,41.08203125,45.8125
n,100,100,3,3,tabu,46.68359375,46.625,46.71484375,47.1875,47.14453125,47.21875,0.50390625,0.50390625,0.51953125
n,500,500,3,3,beam_dp,46.66796875,46.625,46.671875,47.55859375,47.52734375,47.56640625,0.8984375,0.88671875,0.90234375
n,500,500,3,3,exact_dp,46.609375,46.609375,46.75390625,49.8671875,49.66796875,49.89453125,3.11328125,3.05859375,3.28515625
n,500,500,3,3,smvc,63.58984375,63.4921875,63.734375,65.87109375,65.76953125,66.01171875,2.27734375,2.27734375,2.28125
n,500,500,3,3,stc,373.4453125,373.375,373.5546875,437.6171875,428.65234375,438.22265625,64.0625,55.27734375,64.77734375
n,500,500,3,3,tabu,46.72265625,46.71484375,46.74609375,47.55078125,47.52734375,47.55078125,0.8046875,0.8046875,0.8359375
n,1000,1000,3,3,beam_dp,46.7578125,46.75,46.79296875,47.765625,47.76171875,47.80859375,1.015625,1.00390625,1.015625
n,1000,1000,3,3,exact_dp,46.75390625,46.66015625,46.796875,52.98046875,52.84765625,53.25390625,6.2265625,6.1875,6.45703125
n,1000,1000,3,3,smvc,63.6015625,63.5546875,63.72265625,67.1484375,67.1015625,67.26953125,3.546875,3.546875,3.546875
n,1000,1000,3,3,stc,373.49609375,373.46875,373.61328125,454.828125,447.36328125,455.109375,81.33203125,73.75,81.640625
n,1000,1000,3,3,tabu,46.89453125,46.859375,46.9140625,48.1171875,48.08203125,48.15625,1.22265625,1.22265625,1.2421875
n,1500,1500,3,3,beam_dp,46.94140625,46.87890625,46.98046875,48.23828125,48.17578125,48.2734375,1.296875,1.29296875,1.296875
n,1500,1500,3,3,exact_dp,46.8828125,46.84375,46.93359375,56.4140625,56.3046875,56.453125,9.48046875,9.421875,9.609375
